# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
43398	Rongpo	ALL	ruoko, ruəko	all	OLD	r u o k o	18	6209	5 7 7 1 7	AXYBZ	RYUKU	43	43.R.C 43.Y.V 43.U.V 43.K.C 43.U.V	2.0 1.5 1.3 1.75 0.8	0
43399	Rongpo	ALL	səb	all	OLD	s ə b	15	6207	3 7 1	AXN	SEP	43	43.S.C 43.E.V 43.P.c	2.0 1.5 0.8	0
43632	Kulung	ALL	tɔ:tɔ	all (adv.)	OLD	t ɔː t ɔ	13	6288	1 7 1 7	AXBZ	TUTU	26	26.T.C 26.U.V 26.T.C 26.U.V	2.0 1.5 1.75 0.8	0
43633	Kulung	ALL	khɔ:lɔ	all, every (adv.)	OLD	kʰ ɔː l ɔ	12	1273	1 7 5 7	AXBZ	KULU	26	26.K.C 26.U.V 26.L.C 26.U.V	2.0 1.5 1.75 0.8	0
43858	Bantawa	ALL	jamm@y	all, every	OLD	dz a m m ə j	13	6522	2 7 4 4 7 6	AXMBYN	CAMMEJ	4	4.C.C 4.A.V 4.M.c 4.M.C 4.E.V 4.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0
44099	Lashi	ALL	pan³¹ʃɔ̱ʔ⁵⁵	all 1	OLD	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	11	8003	1 7 4 8 9 3 7 1 8	AXLT_AXLT	PAN3_SUH5	27	27.P.C 27.A.V 27.N.c 27.3.T 27._._ 27.S.C 27.U.V 27.H.c 27.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	0
44100	Maru	ALL	pəŋ³¹ʃɔʔ⁵⁵	all 1	OLD	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	11	8003	1 7 4 8 9 3 7 1 8	AXLT_AXLT	PEN3_SUH5	33	33.P.C 33.E.V 33.N.c 33.3.T 33._._ 33.S.C 33.U.V 33.H.c 33.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	0
44101	Xiandao	ALL	chot⁵⁵	all 4	OLD	cʰ o t ⁵⁵	13	8004	1 7 1 8	AXLT	CUT5	54	54.C.C 54.U.V 54.T.c 54.5.T	1.6 3.0 1.1 1.0	0
44102	Atsi	ALL	lu̱ŋ⁵⁵la̱ŋ⁵⁵	all 2	OLD	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	11	8005	5 7 4 8 9 5 7 4 8	AXLT_AXLT	LYN5_LAN5	2	2.L.C 2.Y.V 2.N.c 2.5.T 2._._ 2.L.C 2.A.V 2.N.c 2.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	0
44103	Bola	ALL	a³¹la̱p⁵⁵	all 2	OLD	a ³¹ + l a̰ p ⁵⁵	11	8006	7 8 9 5 7 1 8	XT_AXLT	A3_LAP5	7	7.A.V 7.3.T 7._._ 7.L.C 7.A.V 7.P.c 7.5.T	3.0 1.0 0.0 1.6 3.0 1.1 1.0	0
44741	Rangoon	ALL	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³		OLD	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	11	8340	4 7 4 8 9 1 7 8 9 4 6 7 8	AXLT_AXT_ACXT	MA91_TA3_MJA3	41	41.M.C 41.A.V 41.9.c 41.1.T 41._._ 41.T.C 41.A.V 41.3.T 41._._ 41.M.C 41.J.C 41.A.V 41.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0
45707	Old_Tibetan	ALL	kun		OLD	k u n	12	3899	1 7 4	AXN	KYN	39	39.K.C 39.Y.V 39.N.c	2.0 1.5 0.8	0
48176	Tangut	ALL	zji		OLD	z j i	15	0	3 6 7	ACX	SJI	45	45.S.C 45.J.C 45.I.V	2.0 1.5 1.5	1
48196	Tangut	ALL	rjur		OLD	r j u r	15	0	5 6 7 5	ACXN	RJYR	45	45.R.C 45.J.C 45.Y.V 45.R.c	2.0 1.5 1.5 0.8	0
48507	Mikir	ALL	thài		OLD	tʰ ài	13	0	1 7	AX	TA	34	34.T.C 34.A.V	2.0 1.5	0
10105	Tangut	ALL	zji¹	all	OLD	z j i ¹	15	0	3 6 7 8	ACXT	SJI6	45	45.S.C 45.J.C 45.I.V 45.6.T	1.6 1.2 3.0 1.0	0
