ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	MORPHEMES	NOTE	TOKENS	VALUE
2079	ʈʂʰ o ¹³ + k o ⁵²	1193	None	BELLY	Lhasa	tʂh.o.¹³.◦.k.o.⁵²	None		ʈʂʰ o ¹³ + k o ⁵²	tʂho¹³ko⁵²
2080	ʈʂ u ¹³ + p a ⁵³	1193	None	BELLY	Batang	tʂ.ᴜ.¹³.◦.p.a.⁵³	None		ʈʂ u ¹³ + p a ⁵³	tʂᴜ¹³pa⁵³
2081	h o - -	1192	None	BELLY	Xiahe	h.o	None		h o	ho
2082	p u.k	1194	None	BELLY	OldChinese	p.u.k	None		p u.k	*p(r)uk
22	p a.g + p a	1389	2446 10	SKIN	Gyalsumdo	paɡpa	skin/pag _:pa-suffix/pa	[x]	p a.g + p a	paɡpa
23	p o + g o	1389	2447 42	SKIN	Gyalsumdo	poɡo	skin/pag /go	[x]	p o + g o	poɡo
286	k o.k + t̪ e.n	726	2448 2449	SKIN	Jirel	kokt̪en	skin/kwa _/ten	[x]	k o.k + t̪ e.n	kokt̪en
546	k o + b a	726	2448 10	SKIN	Kagate	koba	skin/kwa _:pa-suffix/ba	[x]	k o + b a	koba
799	p a + w o	1389	2447 2450	SKIN	Lowa	pawo	skin/pag _skin	[x]	p a + w o	pawo
1056	p a + !Ø/w !u/o	1389	2447 2450	SKIN	Nubri	pau	skin/pag wo	[x]	p a + !Ø/w !u/o	pau
1304	!kʷ/k !Ø/o + !Ø/w a	726	2448 2450	SKIN	Sherpa	kwa	skin/ko wa	[x]	!kʷ/k !Ø/o + !Ø/w a	kwa
1549	k o + !Ø/w a	726	2448 2450	SKIN	Tsum	koa	skin/ko wa	[x]	k o + !Ø/w a	koa
1811	p a + w a	1389	2447 2450	SKIN	Yolmo	pawa	skin/pag _skin	[x]	p a + w a	pawa
2611	l.p a.g s	1389	None	SKIN	OldTibetan	l.p.a.g.s	None		l.p a.g s	lpags
2612	- - - - xʰ a ⁵⁵ + p ɑ ⁵³	1390	None	SKIN	Batang	xh.a.⁵⁵.◦.p.ɑ.⁵³	None	?	xʰ a ⁵⁵ + p ɑ ⁵³	xha⁵⁵pɑ⁵³
2613	p a.k ⁵⁵ + p - a ⁵⁵	1389	None	SKIN	Lhasa	p.a.k.⁵⁵.◦.p.a.⁵⁵	None		p a.k ⁵⁵ + p a ⁵⁵	pak⁵⁵pa⁵⁵
2614	h.tɕ ə + m o - - - - -	1390	None	SKIN	Xiahe	h.tɕ.ə._.m.o	None	!	h.tɕ ə + m o	htɕə mo
2615	m + p a.j	1391	41	SKIN	OldChinese	m.+.p.a.j	None	(animal)	m + p a.j	*m-[p](r)aj
2616	p.r a	1389	None	SKIN	OldChinese	p.r.a	None	(human), cf. WT lpags	p.r a	*pra
24	ɹ o + g o	1208	287 288	BONE	Gyalsumdo	ɹoɡo	bone/ru _bone/kok	[x]	ɹ o + g o	ɹoɡo
287	ɹ u + b a	1208	287 10	BONE	Jirel	ɹuba	bone/ru _:pa-suffix/ba	[x]	ɹ u + b a	ɹuba
547	r e + k o.k	1208	287 288	BONE	Kagate	rekok	bone/ru _bone/kok	[x]	r e + k o.k	rekok
800	ɹ u + k o	1208	287 288	BONE	Lowa	ɹuko	bone/ru _bone/kok	[x]	ɹ u + k o	ɹuko
1057	h.ɹ y + p a	1208	287 10	BONE	Nubri	hɹypa	bone/ru _:pa-suffix/pa	[x]	h.ɹ y + p a	hɹypa
1305	ɹ u + k.j o.k	1208	287 288	BONE	Sherpa	ɹukjok	bone/ru _bone/kok	[x]	ɹ u + k.j o.k	ɹukjok
1550	ɹ i + g o.ʔ	1208	287 288	BONE	Tsum	ɹiɡoʔ	bone/ru _bone/kok	[x]	ɹ i + g o.ʔ	ɹiɡoʔ
1812	ɹ e + k o	1208	287 288	BONE	Yolmo	ɹeko	bone/ru _bone/kok	[x]	ɹ e + k o	ɹeko
2110	r u.s	1208	None	BONE	OldTibetan	r.u.s	None		r u.s	rus
2111	r ə - + - p æ -	1208	None	BONE	Alike	r.ə._.p.æ	None		r ə + p æ	rə pæ
2112	r y - ⁵⁵ + k o ⁵²	1208	None	BONE	Lhasa	r.y.⁵⁵.◦.k.o.⁵²	None		r y ⁵⁵ + k o ⁵²	ry⁵⁵ko⁵²
2113	ʐ u - ¹³ + p a ⁵³	1208	None	BONE	Batang	ʐ.ᴜ.¹³.◦.p.a.⁵³	None		ʐ u ¹³ + p a ⁵³	ʐᴜ¹³pa⁵³
