ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
115	Jirel_Sikri	BOY	1366	kjobomi			boy	1366	BOY	2
116	Jirel_Sikri	GIRL	1646	pheme phidza			girl	1646	GIRL	2
118	Jirel_Sikri	NIGHT	1233	gwaka			night	1233	NIGHT	2
119	Jirel_Sikri	MORNING	1339	ŋomo / məmu			morning	1339	MORNING	2
120	Jirel_Sikri	NOON	2490	ŋime ser /nimbo			noon	12	MIDDAY	2
121	Jirel_Sikri	EVENING	1629	gwase			evening	1629	EVENING	2
122	Jirel_Sikri	YESTERDAY	1174	daŋ			yesterday	1174	YESTERDAY	2
123	Jirel_Sikri	TODAY	1283	thəriŋ			today	1283	TODAY	2
124	Jirel_Sikri	TOMORROW	1329	ŋaro			tomorrow	1329	TOMORROW	2
125	Jirel_Sikri	WEEK	1469	sata			week	1469	WEEK	2
126	Jirel_Sikri	MONTH	1370	dawa			month	1370	MONTH	2
127	Jirel_Sikri	YEAR	1226	lo			year	1226	YEAR	2
129	Jirel_Sikri	NEW	1231	samba			new	1231	NEW	2
130	Jirel_Sikri	GOOD	1035	lemu			good	1035	GOOD	2
131	Jirel_Sikri	BAD	1292	meleba			bad	1292	BAD	2
132	Jirel_Sikri	WET	1726	ṭhiŋge / lumma			wet	1726	WET	2
134	Jirel_Sikri	LONG	1203	riŋbu / rimmo			long	1203	LONG	2
135	Jirel_Sikri	SHORT	1645	thumma			short	1645	SHORT	2
140	Jirel_Sikri	NEAR	1942	dondu			near	1942	NEAR	2
141	Jirel_Sikri	FAR	1406	thari			far	1406	FAR	2
142	Jirel_Sikri	BIG	1202	dzoba			big	1202	BIG	2
143	Jirel_Sikri	SMALL	1246	ṭekṭe /ṭiṭṭi 			small	1246	SMALL	2
