# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID	ALIGNMENT
965	Lowa	THIS	nd̪ekja	These:	n d̪ e k j a	4 1 7 1 6 7	ACYBCZ	NTEKJA	4	4.N.C 4.T.C 4.E.V 4.K.C 4.J.C 4.A.V	2.0 1.5 1.3 1.75 1.5 0.8	0	n d̪ e k j a	510	n d̪ e k - - j a
1212	Nubri	THIS	t̪i	This:(Low-)Mid	t̪ i	1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	0	t̪ i	510	- t̪ i - - - - -
1213	Nubri	THIS	d̪i	This:(Low-)Mid	d̪ i	1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	0	d̪ i	510	- d̪ i - - - - -
1215	Nubri	THIS	t̪id̪o	These:	t̪ i d̪ o	1 7 1 7	AXBZ	TITU	5	5.T.C 5.I.V 5.T.C 5.U.V	2.0 1.5 1.75 0.8	0	t̪ i d̪ o	510	- t̪ i d̪ o - - -
1465	Sherpa	THIS	d̪i	This:Mid-Low	d̪ i	1 7	AX	TI	6	6.T.C 6.I.V	2.0 1.5	0	d̪ i	510	- d̪ i - - - - -
1467	Sherpa	THIS	d̪iba	These:	d̪ i b a	1 7 1 7	AXBZ	TIPA	6	6.T.C 6.I.V 6.P.C 6.A.V	2.0 1.5 1.75 0.8	0	d̪ i b a	510	- d̪ i b a - - -
1708	Tsum	THIS	nd̪i	This:Low-Rise	n d̪ i	4 1 7	ACZ	NTI	7	7.N.C 7.T.C 7.I.V	2.0 1.5 0.8	0	n d̪ i	510	n d̪ i - - - - -
1710	Tsum	THIS	nd̪id̪em	These:	n d̪ i d̪ e m	4 1 7 1 7 4	ACYBYN	NTITEM	7	7.N.C 7.T.C 7.I.V 7.T.C 7.E.V 7.M.c	2.0 1.5 1.3 1.75 1.3 0.8	0	n d̪ i d̪ e m	510	n d̪ i d̪ e m - -
1973	Yolmo	THIS	nd̪i	This:Low-Rise	n d̪ i	4 1 7	ACZ	NTI	8	8.N.C 8.T.C 8.I.V	2.0 1.5 0.8	0	n d̪ i	510	n d̪ i - - - - -
1975	Yolmo	THIS	nd̪ikja	These:	n d̪ i k j a	4 1 7 1 6 7	ACYBCZ	NTIKJA	8	8.N.C 8.T.C 8.I.V 8.K.C 8.J.C 8.A.V	2.0 1.5 1.3 1.75 1.5 0.8	0	n d̪ i k j a	510	n d̪ i k - - j a
#
72	Gyalsumdo	THORN	tsʰeɾma	Thorn:Mid-High	t sʰ e ɾ m a	1 3 7 5 4 7	ACXMBZ	TSERMA	1	1.T.C 1.S.C 1.E.V 1.R.c 1.M.C 1.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t sʰ e ɾ m a	511	t sʰ e ɾ m a -
334	Jirel	THORN	tsaŋ	Thorn:High	t s a ŋ	1 3 7 4	ACXN	TSAN	2	2.T.C 2.S.C 2.A.V 2.N.c	2.0 1.5 1.5 0.8	0	t s a ŋ	511	t s a ŋ - - -
593	Kagate	THORN	tsʰermaŋ	Thorn:High	t sʰ e r m a ŋ	1 3 7 5 4 7 4	ACXMBYN	TSERMAN	3	3.T.C 3.S.C 3.E.V 3.R.c 3.M.C 3.A.V 3.N.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	t sʰ e r m a ŋ	511	t sʰ e r m a ŋ
849	Lowa	THORN	tsʰeɾma	Thorn:High	t sʰ e ɾ m a	1 3 7 5 4 7	ACXMBZ	TSERMA	4	4.T.C 4.S.C 4.E.V 4.R.c 4.M.C 4.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t sʰ e ɾ m a	511	t sʰ e ɾ m a -
1104	Nubri	THORN	tsʰerma	Thorn:(Mid-)Fall	t sʰ e r m a	1 3 7 5 4 7	ACXMBZ	TSERMA	5	5.T.C 5.S.C 5.E.V 5.R.c 5.M.C 5.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t sʰ e r m a	511	t sʰ e r m a -
1357	Sherpa	THORN	tsʰermaŋ	Thorn:Low	t sʰ e r m a ŋ	1 3 7 5 4 7 4	ACXMBYN	TSERMAN	6	6.T.C 6.S.C 6.E.V 6.R.c 6.M.C 6.A.V 6.N.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	t sʰ e r m a ŋ	511	t sʰ e r m a ŋ
1601	Tsum	THORN	tsʰenma	Thorn:Mid-Rise	t sʰ e n m a	1 3 7 4 4 7	ACXMBZ	TSENMA	7	7.T.C 7.S.C 7.E.V 7.N.c 7.M.C 7.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t sʰ e n m a	511	t sʰ e n m a -
1865	Yolmo	THORN	tsʰeɹma	Thorn:High	t sʰ e ɹ m a	1 3 7 5 4 7	ACXMBZ	TSERMA	8	8.T.C 8.S.C 8.E.V 8.R.c 8.M.C 8.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t sʰ e ɹ m a	511	t sʰ e ɹ m a -
#
222	Gyalsumdo	THOU	kʰe	You (informal):High	kʰ e	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	0	kʰ e	512	kʰ - e - - -
489	Jirel	THOU	kʰo	You (informal):	kʰ o	1 7	AX	KU	2	2.K.C 2.U.V	2.0 1.5	0	kʰ o	512	kʰ - o - - -
737	Kagate	THOU	kʰjo	You (informal):High	kʰ j o	1 6 7	ACX	KJU	3	3.K.C 3.J.C 3.U.V	2.0 1.5 1.5	0	kʰ j o	512	kʰ j o - - -
998	Lowa	THOU	kʰøʔ	You (informal):High	kʰ ø ʔ	1 7 1	AXN	KUH	4	4.K.C 4.U.V 4.H.c	2.0 1.5 0.8	0	kʰ ø ʔ	512	kʰ - ø ʔ - -
1246	Nubri	THOU	kʰjo	You (informal):(Mid-)Fall	kʰ j o	1 6 7	ACX	KJU	5	5.K.C 5.J.C 5.U.V	2.0 1.5 1.5	0	kʰ j o	512	kʰ j o - - -
1497	Sherpa	THOU	kʰjoroŋ	You (informal):	kʰ j o r o ŋ	1 6 7 5 7 4	ACXBYN	KJURUN	6	6.K.C 6.J.C 6.U.V 6.R.C 6.U.V 6.N.c	2.0 1.5 1.5 1.75 1.3 0.8	1	kʰ j o r o ŋ	512	kʰ j o r o ŋ
1748	Tsum	THOU	kʰjøʔ	You (informal):High	kʰ j ø ʔ	1 6 7 1	ACXN	KJUH	7	7.K.C 7.J.C 7.U.V 7.H.c	2.0 1.5 1.5 0.8	0	kʰ j ø ʔ	512	kʰ j ø ʔ - -
2006	Yolmo	THOU	kʰje	You (informal):	kʰ j e	1 6 7	ACX	KJE	8	8.K.C 8.J.C 8.E.V	2.0 1.5 1.5	0	kʰ j e	512	kʰ j e - - -
2007	Yolmo	THOU	kʰjø	You (informal):	kʰ j ø	1 6 7	ACX	KJU	8	8.K.C 8.J.C 8.U.V	2.0 1.5 1.5	0	kʰ j ø	512	kʰ j ø - - -
#
43	Gyalsumdo	THREAD	kupa	Thread:High-Fall	k u p a	1 7 1 7	AXBZ	KYPA	1	1.K.C 1.Y.V 1.P.C 1.A.V	2.0 1.5 1.75 0.8	0	k u p a	513	k u p a
306	Jirel	THREAD	ɕut̪ak	Thread:High	ɕ u t̪ a k	3 7 1 7 1	AXBYN	SYTAK	2	2.S.C 2.Y.V 2.T.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 0.8	0	ɕ u t̪ a k	514	ɕ u t̪ a k
566	Kagate	THREAD	kupa	Thread:High	k u p a	1 7 1 7	AXBZ	KYPA	3	3.K.C 3.Y.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0	k u p a	513	k u p a
820	Lowa	THREAD	kupa	Thread:High	k u p a	1 7 1 7	AXBZ	KYPA	4	4.K.C 4.Y.V 4.P.C 4.A.V	2.0 1.5 1.75 0.8	0	k u p a	513	k u p a
1077	Nubri	THREAD	kupa	Thread:Mid(-High)	k u p a	1 7 1 7	AXBZ	KYPA	5	5.K.C 5.Y.V 5.P.C 5.A.V	2.0 1.5 1.75 0.8	0	k u p a	513	k u p a
1329	Sherpa	THREAD	rut̪ak	Thread:Mid	r u t̪ a k	5 7 1 7 1	AXBYN	RYTAK	6	6.R.C 6.Y.V 6.T.C 6.A.V 6.K.c	2.0 1.5 1.75 1.3 0.8	0	r u t̪ a k	514	r u t̪ a k
1574	Tsum	THREAD	kuɾt̪oʔ	Thread:High-Rise	k u ɾ t̪ o ʔ	1 7 5 1 7 1	AXMBYN	KYRTUH	7	7.K.C 7.Y.V 7.R.c 7.T.C 7.U.V 7.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	k u ɾ t̪ o ʔ	515	k u ɾ t̪ o ʔ
1837	Yolmo	THREAD	kupa	Thread:High	k u p a	1 7 1 7	AXBZ	KYPA	8	8.K.C 8.Y.V 8.P.C 8.A.V	2.0 1.5 1.75 0.8	0	k u p a	513	k u p a
#
167	Gyalsumdo	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	1	1.S.C 1.Y.V 1.M.c	2.0 1.5 0.8	0	s u m	516	s u m
428	Jirel	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	2	2.S.C 2.Y.V 2.M.c	2.0 1.5 0.8	0	s u m	516	s u m
686	Kagate	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	3	3.S.C 3.Y.V 3.M.c	2.0 1.5 0.8	0	s u m	516	s u m
942	Lowa	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	4	4.S.C 4.Y.V 4.M.c	2.0 1.5 0.8	0	s u m	516	s u m
1193	Nubri	THREE	sum	Three:Mid	s u m	3 7 4	AXN	SYM	5	5.S.C 5.Y.V 5.M.c	2.0 1.5 0.8	0	s u m	516	s u m
1447	Sherpa	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	6	6.S.C 6.Y.V 6.M.c	2.0 1.5 0.8	0	s u m	516	s u m
1690	Tsum	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	7	7.S.C 7.Y.V 7.M.c	2.0 1.5 0.8	0	s u m	516	s u m
1954	Yolmo	THREE	sum	Three:High	s u m	3 7 4	AXN	SYM	8	8.S.C 8.Y.V 8.M.c	2.0 1.5 0.8	0	s u m	516	s u m
#
267	Gyalsumdo	THROW	jukɛ	To throw:Mid	j u k ɛ	6 7 1 7	AXBZ	JYKE	1	1.J.C 1.Y.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	j u k ɛ	518	j u - k - ɛ
268	Gyalsumdo	THROW	juɹkɛ	To throw:Mid	j u ɹ k ɛ	6 7 5 1 7	AXMBZ	JYRKE	1	1.J.C 1.Y.V 1.R.c 1.K.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	j u ɹ k ɛ	518	j u ɹ k - ɛ
528	Jirel	THROW	kjuɹat̪e	To throw:	k j u ɹ a t̪ e	1 6 7 5 7 1 7	ACXBYBZ	KJYRATE	2	2.K.C 2.J.C 2.Y.V 2.R.C 2.A.V 2.T.C 2.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	k j u ɹ a t̪ e	517	k j u ɹ a t̪ - e -
780	Kagate	THROW	kurtse	To throw:High	k u r t s e	1 7 5 1 3 7	AXMBCZ	KYRTSE	3	3.K.C 3.Y.V 3.R.c 3.T.C 3.S.C 3.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	k u r t s e	517	k - u r - t s e -
1040	Lowa	THROW	juɡje	To throw:Mid	j u ɡ j e	6 7 1 6 7	AXBCZ	JYKJE	4	4.J.C 4.Y.V 4.K.C 4.J.C 4.E.V	2.0 1.5 1.75 1.5 0.8	0	j u ɡ j e	518	j u - ɡ j e
1291	Nubri	THROW	juk	To throw:High	j u k	6 7 1	AXN	JYK	5	5.J.C 5.Y.V 5.K.c	2.0 1.5 0.8	0	j u k	518	j u - k - -
1536	Sherpa	THROW	juku	To throw:Mid	j u k u	6 7 1 7	AXBZ	JYKY	6	6.J.C 6.Y.V 6.K.C 6.Y.V	2.0 1.5 1.75 0.8	0	j u k u	518	j u - k - u
1798	Tsum	THROW	kjut	To throw:	k j u t	1 6 7 1	ACXN	KJYT	7	7.K.C 7.J.C 7.Y.V 7.T.c	2.0 1.5 1.5 0.8	0	k j u t	517	k j u - - t - - -
1799	Tsum	THROW	kjuɾtsoŋ	To throw:	k j u ɾ t s o ŋ	1 6 7 5 1 3 7 4	ACXMBCYN	KJYRTSUN	7	7.K.C 7.J.C 7.Y.V 7.R.c 7.T.C 7.S.C 7.U.V 7.N.c	2.0 1.5 1.5 1.1 1.75 1.5 1.3 0.8	0	k j u ɾ t s o ŋ	517	k j u ɾ - t s o ŋ
2050	Yolmo	THROW	kjuɹd̪uŋ	To throw:	k j u ɹ d̪ u ŋ	1 6 7 5 1 7 4	ACXMBYN	KJYRTYN	8	8.K.C 8.J.C 8.Y.V 8.R.c 8.T.C 8.Y.V 8.N.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	k j u ɹ d̪ u ŋ	517	k j u ɹ - d̪ - u ŋ
#
136	Gyalsumdo	TODAY	t̪iɹiŋ	Today:Low-Rise	t̪ i ɹ i ŋ	1 7 5 7 4	AXBYN	TIRIN	1	1.T.C 1.I.V 1.R.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i ɹ i ŋ	519	t̪ i ɹ i ŋ
396	Jirel	TODAY	tʰəɹiŋ	Today:Mid	tʰ ə ɹ i ŋ	1 7 5 7 4	AXBYN	TERIN	2	2.T.C 2.E.V 2.R.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	tʰ ə ɹ i ŋ	519	tʰ ə ɹ i ŋ
655	Kagate	TODAY	t̪iriŋ	Today:Low-Rise	t̪ i r i ŋ	1 7 5 7 4	AXBYN	TIRIN	3	3.T.C 3.I.V 3.R.C 3.I.V 3.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i r i ŋ	519	t̪ i r i ŋ
910	Lowa	TODAY	t̪iɾiŋ	Today:(Low-)Rise	t̪ i ɾ i ŋ	1 7 5 7 4	AXBYN	TIRIN	4	4.T.C 4.I.V 4.R.C 4.I.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i ɾ i ŋ	519	t̪ i ɾ i ŋ
1163	Nubri	TODAY	t̪iɹiŋ	Today:(Low-)Rise	t̪ i ɹ i ŋ	1 7 5 7 4	AXBYN	TIRIN	5	5.T.C 5.I.V 5.R.C 5.I.V 5.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i ɹ i ŋ	519	t̪ i ɹ i ŋ
1417	Sherpa	TODAY	ariŋ	Today:Low-Rise	a r i ŋ	7 5 7 4	XBYN	ARIN	6	6.A.V 6.R.C 6.I.V 6.N.c	1.5 1.75 1.3 0.8	0	a r i ŋ	519	- a r i ŋ
1660	Tsum	TODAY	t̪iɾiŋ	Today:Low-Rise	t̪ i ɾ i ŋ	1 7 5 7 4	AXBYN	TIRIN	7	7.T.C 7.I.V 7.R.C 7.I.V 7.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i ɾ i ŋ	519	t̪ i ɾ i ŋ
1924	Yolmo	TODAY	t̪iɹiŋ	Today:Mid-Rise	t̪ i ɹ i ŋ	1 7 5 7 4	AXBYN	TIRIN	8	8.T.C 8.I.V 8.R.C 8.I.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	t̪ i ɹ i ŋ	519	t̪ i ɹ i ŋ
#
89	Gyalsumdo	TOMATO	kolbenda	Tomato:	k o l b e n d a	1 7 5 1 7 4 1 7	AXMBYMBZ	KULPENTA	1	1.K.C 1.U.V 1.L.c 1.P.C 1.E.V 1.N.c 1.T.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.1 1.75 0.8	0	k o l b e n d a	520	- k o l b e n d a
350	Jirel	TOMATO	ŋɡolbeda	Tomato:	ŋ ɡ o l b e d a	4 1 7 5 1 7 1 7	ACYMBYBZ	NKULPETA	2	2.N.C 2.K.C 2.U.V 2.L.c 2.P.C 2.E.V 2.T.C 2.A.V	2.0 1.5 1.3 1.1 1.75 1.3 1.75 0.8	0	ŋ ɡ o l b e d a	520	ŋ ɡ o l b e - d a
609	Kagate	TOMATO	ɡolbeda	Tomato:	ɡ o l b e d a	1 7 5 1 7 1 7	AXMBYBZ	KULPETA	3	3.K.C 3.U.V 3.L.c 3.P.C 3.E.V 3.T.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	ɡ o l b e d a	520	- ɡ o l b e - d a
865	Lowa	TOMATO	tomato	Tomato:	t o m a t o	1 7 4 7 1 7	AXBYBZ	TUMATU	4	4.T.C 4.U.V 4.M.C 4.A.V 4.T.C 4.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t o m a t o	521	t o m a t o
1120	Nubri	TOMATO	tumaʈa	Tomato:	t u m a ʈ a	1 7 4 7 1 7	AXBYBZ	TYMATA	5	5.T.C 5.Y.V 5.M.C 5.A.V 5.T.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t u m a ʈ a	521	t u m a ʈ a
1373	Sherpa	TOMATO	ɡolbeda	Tomato:	ɡ o l b e d a	1 7 5 1 7 1 7	AXMBYBZ	KULPETA	6	6.K.C 6.U.V 6.L.c 6.P.C 6.E.V 6.T.C 6.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	ɡ o l b e d a	520	- ɡ o l b e - d a
1617	Tsum	TOMATO	ɡolbeɾa	Tomato:	ɡ o l b e ɾ a	1 7 5 1 7 5 7	AXMBYBZ	KULPERA	7	7.K.C 7.U.V 7.L.c 7.P.C 7.E.V 7.R.C 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	ɡ o l b e ɾ a	520	- ɡ o l b e - ɾ a
1881	Yolmo	TOMATO	ɡolbenda	Tomato:	ɡ o l b e n d a	1 7 5 1 7 4 1 7	AXMBYMBZ	KULPENTA	8	8.K.C 8.U.V 8.L.c 8.P.C 8.E.V 8.N.c 8.T.C 8.A.V	2.0 1.5 1.1 1.75 1.3 1.1 1.75 0.8	0	ɡ o l b e n d a	520	- ɡ o l b e n d a
#
137	Gyalsumdo	TOMORROW	ŋato	Tomorrow:Mid-High	ŋ a t o	4 7 1 7	AXBZ	NATU	1	1.N.C 1.A.V 1.T.C 1.U.V	2.0 1.5 1.75 0.8	0	ŋ a t o	522	ŋ a - t o
397	Jirel	TOMORROW	ŋaɹo	Tomorrow:High	ŋ a ɹ o	4 7 5 7	AXBZ	NARU	2	2.N.C 2.A.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	ŋ a ɹ o	522	ŋ a ɹ - o
656	Kagate	TOMORROW	ŋart̪o	Tomorrow:High	ŋ a r t̪ o	4 7 5 1 7	AXMBZ	NARTU	3	3.N.C 3.A.V 3.R.c 3.T.C 3.U.V	2.0 1.5 1.1 1.75 0.8	0	ŋ a r t̪ o	522	ŋ a r t̪ o
911	Lowa	TOMORROW	ŋeto	Tomorrow:High	ŋ e t o	4 7 1 7	AXBZ	NETU	4	4.N.C 4.E.V 4.T.C 4.U.V	2.0 1.5 1.75 0.8	0	ŋ e t o	522	ŋ e - t o
1164	Nubri	TOMORROW	ŋaɹo	Tomorrow:Mid	ŋ a ɹ o	4 7 5 7	AXBZ	NARU	5	5.N.C 5.A.V 5.R.C 5.U.V	2.0 1.5 1.75 0.8	0	ŋ a ɹ o	522	ŋ a ɹ - o
1418	Sherpa	TOMORROW	sala	Tomorrow:Low	s a l a	3 7 5 7	AXBZ	SALA	6	6.S.C 6.A.V 6.L.C 6.A.V	2.0 1.5 1.75 0.8	0	s a l a	524	s a l a
1661	Tsum	TOMORROW	ŋaɾt̪o	Tomorrow:Mid	ŋ a ɾ t̪ o	4 7 5 1 7	AXMBZ	NARTU	7	7.N.C 7.A.V 7.R.c 7.T.C 7.U.V	2.0 1.5 1.1 1.75 0.8	0	ŋ a ɾ t̪ o	522	ŋ a ɾ t̪ o
1925	Yolmo	TOMORROW	n̪aŋbaɹ	Tomorrow:Low-Rise	n̪ a ŋ b a ɹ	4 7 4 1 7 5	AXMBYN	NANPAR	8	8.N.C 8.A.V 8.N.c 8.P.C 8.A.V 8.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	n̪ a ŋ b a ɹ	523	n̪ a ŋ b a ɹ
#
11	Gyalsumdo	TONGUE	tɕemu	Tongue:Mid	t ɕ e m u	1 3 7 4 7	ACXBZ	TSEMY	1	1.T.C 1.S.C 1.E.V 1.M.C 1.Y.V	2.0 1.5 1.5 1.75 0.8	0	t ɕ e m u	525	t ɕ - e m u -
278	Jirel	TONGUE	tselak	Tongue:Mid-High	t s e l a k	1 3 7 5 7 1	ACXBYN	TSELAK	2	2.T.C 2.S.C 2.E.V 2.L.C 2.A.V 2.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t s e l a k	525	t s - e l a k
538	Kagate	TONGUE	tse	Tongue:High	t s e	1 3 7	ACX	TSE	3	3.T.C 3.S.C 3.E.V	2.0 1.5 1.5	0	t s e	525	t s - e - - -
791	Lowa	TONGUE	tsemu	Tongue:High	t s e m u	1 3 7 4 7	ACXBZ	TSEMY	4	4.T.C 4.S.C 4.E.V 4.M.C 4.Y.V	2.0 1.5 1.5 1.75 0.8	0	t s e m u	525	t s - e m u -
1050	Nubri	TONGUE	tɕe	Tongue:Mid	t ɕ e	1 3 7	ACX	TSE	5	5.T.C 5.S.C 5.E.V	2.0 1.5 1.5	0	t ɕ e	525	t ɕ - e - - -
1301	Sherpa	TONGUE	tɕjalak	Tongue:Low	t ɕ j a l a k	1 3 6 7 5 7 1	ACCXBYN	TSJALAK	6	6.T.C 6.S.C 6.J.C 6.A.V 6.L.C 6.A.V 6.K.c	2.0 1.5 1.5 1.5 1.75 1.3 0.8	0	t ɕ j a l a k	525	t ɕ j a l a k
1546	Tsum	TONGUE	tɕe	Tongue:High-Fall	t ɕ e	1 3 7	ACX	TSE	7	7.T.C 7.S.C 7.E.V	2.0 1.5 1.5	0	t ɕ e	525	t ɕ - e - - -
1809	Yolmo	TONGUE	tsele	Tongue:High	t s e l e	1 3 7 5 7	ACXBZ	TSELE	8	8.T.C 8.S.C 8.E.V 8.L.C 8.E.V	2.0 1.5 1.5 1.75 0.8	0	t s e l e	525	t s - e l e -
#
10	Gyalsumdo	TOOTH	so	Teeth:High-Fall	s o	3 7	AX	SU	1	1.S.C 1.U.V	2.0 1.5	0	s o	526	s o
277	Jirel	TOOTH	sa	Teeth:Mid-High	s a	3 7	AX	SA	2	2.S.C 2.A.V	2.0 1.5	0	s a	526	s a
537	Kagate	TOOTH	so	Teeth:Mid-High	s o	3 7	AX	SU	3	3.S.C 3.U.V	2.0 1.5	0	s o	526	s o
790	Lowa	TOOTH	so	Teeth:High	s o	3 7	AX	SU	4	4.S.C 4.U.V	2.0 1.5	0	s o	526	s o
1049	Nubri	TOOTH	sa	Teeth:(Mid-)Fall	s a	3 7	AX	SA	5	5.S.C 5.A.V	2.0 1.5	0	s a	526	s a
1300	Sherpa	TOOTH	sa	Teeth:Mid-Fall	s a	3 7	AX	SA	6	6.S.C 6.A.V	2.0 1.5	0	s a	526	s a
1545	Tsum	TOOTH	sa	Teeth:High-Fall	s a	3 7	AX	SA	7	7.S.C 7.A.V	2.0 1.5	0	s a	526	s a
1808	Yolmo	TOOTH	so	Teeth:High-Fall	s o	3 7	AX	SU	8	8.S.C 8.U.V	2.0 1.5	1	s o	526	s o
#
68	Gyalsumdo	TREE	t̪oŋbu	Tree:Low-Rise	t̪ o ŋ b u	1 7 4 1 7	AXMBZ	TUNPY	1	1.T.C 1.U.V 1.N.c 1.P.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b u	527	- t̪ o ŋ b u
331	Jirel	TREE	nd̪oŋbo	Tree:Mid	n d̪ o ŋ b o	4 1 7 4 1 7	ACYMBZ	NTUNPU	2	2.N.C 2.T.C 2.U.V 2.N.c 2.P.C 2.U.V	2.0 1.5 1.3 1.1 1.75 0.8	0	n d̪ o ŋ b o	527	n d̪ o ŋ b o
590	Kagate	TREE	t̪oŋbo	Tree:Low-Rise	t̪ o ŋ b o	1 7 4 1 7	AXMBZ	TUNPU	3	3.T.C 3.U.V 3.N.c 3.P.C 3.U.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b o	527	- t̪ o ŋ b o
846	Lowa	TREE	t̪oŋbo	Tree:Fall-Rise	t̪ o ŋ b o	1 7 4 1 7	AXMBZ	TUNPU	4	4.T.C 4.U.V 4.N.c 4.P.C 4.U.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b o	527	- t̪ o ŋ b o
1101	Nubri	TREE	t̪oŋpo	Tree:(Low-)Rise	t̪ o ŋ p o	1 7 4 1 7	AXMBZ	TUNPU	5	5.T.C 5.U.V 5.N.c 5.P.C 5.U.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ p o	527	- t̪ o ŋ p o
1354	Sherpa	TREE	d̪oŋbu	Tree:Mid-Low	d̪ o ŋ b u	1 7 4 1 7	AXMBZ	TUNPY	6	6.T.C 6.U.V 6.N.c 6.P.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	0	d̪ o ŋ b u	527	- d̪ o ŋ b u
1598	Tsum	TREE	t̪oŋbo	Tree:Low-Rise	t̪ o ŋ b o	1 7 4 1 7	AXMBZ	TUNPU	7	7.T.C 7.U.V 7.N.c 7.P.C 7.U.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b o	527	- t̪ o ŋ b o
1862	Yolmo	TREE	t̪uŋbu	Tree:Low-Rise	t̪ u ŋ b u	1 7 4 1 7	AXMBZ	TYNPY	8	8.T.C 8.Y.V 8.N.c 8.P.C 8.Y.V	2.0 1.5 1.1 1.75 0.8	0	t̪ u ŋ b u	527	- t̪ u ŋ b u
#
85	Gyalsumdo	TURMERIC	peɕaɹ	Turmeric:	p e ɕ a ɹ	1 7 3 7 5	AXBYN	PESAR	1	1.P.C 1.E.V 1.S.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	p e ɕ a ɹ	528	- p e ɕ a - ɹ
346	Jirel	TURMERIC	mbesaɹ	Turmeric:	m b e s a ɹ	4 1 7 3 7 5	ACYBYN	MPESAR	2	2.M.C 2.P.C 2.E.V 2.S.C 2.A.V 2.R.c	2.0 1.5 1.3 1.75 1.3 0.8	0	m b e s a ɹ	528	m b e s a - ɹ
605	Kagate	TURMERIC	juŋa	Turmeric:Low-Rise	j u ŋ a	6 7 4 7	AXBZ	JYNA	3	3.J.C 3.Y.V 3.N.C 3.A.V	2.0 1.5 1.75 0.8	0	j u ŋ a	529	j u ŋ a
861	Lowa	TURMERIC	besaɾ	Turmeric:	b e s a ɾ	1 7 3 7 5	AXBYN	PESAR	4	4.P.C 4.E.V 4.S.C 4.A.V 4.R.c	2.0 1.5 1.75 1.3 0.8	0	b e s a ɾ	528	- b e s a - ɾ
1116	Nubri	TURMERIC	peseɹ	Turmeric:	p e s e ɹ	1 7 3 7 5	AXBYN	PESER	5	5.P.C 5.E.V 5.S.C 5.E.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	p e s e ɹ	528	- p e s e - ɹ
1369	Sherpa	TURMERIC	ɲuŋa	Turmeric:Low-Rise	ɲ u ŋ a	4 7 4 7	AXBZ	NYNA	6	6.N.C 6.Y.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	0	ɲ u ŋ a	529	ɲ u ŋ a
1613	Tsum	TURMERIC	beset	Turmeric:	b e s e t	1 7 3 7 1	AXBYN	PESET	7	7.P.C 7.E.V 7.S.C 7.E.V 7.T.c	2.0 1.5 1.75 1.3 0.8	0	b e s e t	528	- b e s e t -
